pulses;x;y;z
396;0.022873;1.080231;-0.464951
397;-0.082428;1.058350;-0.412125
398;-0.197418;0.983078;-0.350983
399;-0.189423;0.936295;-0.392639
400;-0.087646;0.903824;-0.442505
401;-0.010559;0.920746;-0.553619
402;-0.035233;0.960663;-0.662842
403;-0.101379;1.037842;-0.685272
404;-0.164703;1.110931;-0.649933
405;-0.183594;1.131271;-0.610458
406;-0.132477;1.099319;-0.615799
407;-0.070984;1.021881;-0.620590
408;-0.015808;0.960846;-0.590408
409;0.003326;0.879761;-0.567444
410;0.011353;0.871674;-0.583282
411;-0.013138;0.854767;-0.651672
412;-0.014145;0.927185;-0.730133
413;-0.011398;0.942169;-0.672897
414;0.032684;0.735916;-0.446777
415;-0.086731;0.601395;-0.351212
416;0.021088;0.566696;-0.274277
417;0.128448;0.578995;-0.337143
418;0.179489;0.753082;-0.637985
419;-0.010437;0.672668;-0.708511
420;-0.205292;0.598709;-0.697037
421;-0.187485;0.502838;-0.692932
422;-0.108734;0.544098;-0.638687
423;-0.113297;0.521698;-0.633072
424;-0.146927;0.559235;-0.622391
425;-0.182480;0.516525;-0.574310
426;-0.192291;0.489929;-0.526688
427;-0.136475;0.371841;-0.439438
428;-0.093216;0.343597;-0.449936
429;-0.080322;0.318222;-0.473648
430;-0.051102;0.317062;-0.470978
431;-0.069672;0.362747;-0.452820
432;-0.035675;0.384537;-0.494568
433;0.018692;0.391098;-0.489212
434;0.028976;0.433029;-0.561935
435;0.015411;0.460831;-0.566315
436;0.046692;0.496338;-0.486664
437;0.037125;0.511642;-0.485458
438;0.055359;0.578796;-0.419403
439;-0.037247;0.719955;-0.569809
440;-0.165253;0.701981;-0.493546
441;-0.310516;0.686462;-0.526611
442;-0.425262;0.787933;-0.628433
443;-0.448380;0.948959;-0.649719
444;-0.362579;1.089691;-0.647614
445;-0.264786;1.124283;-0.728287
446;-0.165863;1.090927;-0.620544
447;-0.138275;1.074295;-0.599045
448;-0.166061;1.022522;-0.572266
449;-0.155609;0.965759;-0.538956
450;-0.167648;0.996780;-0.521393
451;-0.160202;1.057632;-0.555603
452;-0.196289;1.110947;-0.645737
453;-0.298431;1.106628;-0.719131
454;-0.414001;1.092773;-0.659851
455;-0.461319;1.178040;-0.640976
456;-0.405243;1.287323;-0.722977
457;-0.325348;1.302200;-0.674377
458;-0.221146;1.228821;-0.622269
459;-0.114944;1.206635;-0.546387
460;-0.042297;1.125031;-0.519287
461;-0.054932;0.951202;-0.335480
462;-0.167557;0.995987;-0.290924
463;-0.162323;1.002823;-0.232697
464;-0.132721;0.991592;-0.254807
465;-0.162720;1.030075;-0.412354
466;-0.194839;1.056061;-0.599808
467;-0.209991;1.101349;-0.711731
468;-0.157883;1.074539;-0.626984
469;0.007828;0.965012;-0.484924
470;0.125488;0.915298;-0.488892
471;0.164871;0.853058;-0.560608
472;0.115921;0.824051;-0.598709
473;0.058289;0.890213;-0.611069
474;-0.022812;0.983475;-0.648666
475;-0.092056;0.949066;-0.597977
476;-0.118561;0.903427;-0.522293
477;-0.127441;0.903046;-0.528839
478;-0.186539;0.868042;-0.557632
479;-0.205627;0.850616;-0.619186
480;-0.154831;0.846848;-0.650223
481;-0.087265;0.845505;-0.671219
482;-0.003098;0.826782;-0.707321
483;0.037140;0.804413;-0.747269
484;-0.000626;0.824127;-0.792786
485;-0.015457;0.748993;-0.770981
486;0.001099;0.740540;-0.722824
487;-0.080811;0.636932;-0.704773
488;-0.120972;0.585251;-0.583313
489;-0.083023;0.496353;-0.479309
490;-0.077240;0.439804;-0.435760
491;-0.062439;0.392105;-0.398392
492;-0.041611;0.402786;-0.436417
493;-0.056259;0.376389;-0.480225
494;-0.052246;0.355621;-0.468735
495;-0.094177;0.353806;-0.542160
496;-0.086166;0.377274;-0.501511
497;-0.100464;0.367111;-0.487091
498;-0.141708;0.288620;-0.466553
499;-0.121078;0.292068;-0.393433
500;-0.091446;0.285446;-0.390762
501;-0.072525;0.342499;-0.413788
502;-0.061172;0.435898;-0.426483
503;-0.032578;0.488281;-0.419296
504;-0.021988;0.531906;-0.431183
505;-0.029144;0.581497;-0.431458
506;-0.103119;0.636398;-0.451462
507;-0.124466;0.715149;-0.428375
508;-0.156540;0.877579;-0.492477
509;-0.089157;0.981964;-0.475388
510;-0.096832;1.061081;-0.576859
511;-0.129242;1.078293;-0.596390
512;-0.198318;1.134491;-0.638672
513;-0.220078;1.107391;-0.783112
514;-0.205292;1.089920;-0.823608
515;-0.223846;1.173645;-0.882385
516;-0.198303;1.219437;-0.850327
517;-0.235641;1.247147;-0.799683
518;-0.188644;1.213867;-0.794495
519;-0.156509;1.120956;-0.721298
520;-0.155334;1.134552;-0.668884
521;-0.116440;1.052216;-0.591553
522;-0.158981;0.992828;-0.512970
523;-0.132858;0.980804;-0.465134
524;-0.095642;0.975067;-0.434189
525;-0.117218;0.978867;-0.407852
526;-0.165115;0.960266;-0.392151
527;-0.207779;0.974030;-0.352127
528;-0.206848;0.987579;-0.390396
529;-0.170853;1.094391;-0.420471
530;-0.145432;1.081024;-0.490189
531;-0.099335;1.058701;-0.513535
532;-0.044434;1.044235;-0.574234
533;-0.016281;1.051376;-0.605194
534;-0.025894;1.005447;-0.467819
535;-0.050934;1.024155;-0.483200
536;-0.158005;0.953186;-0.608795
537;-0.268356;0.925735;-0.640350
538;-0.292221;0.920135;-0.544998
539;-0.201126;0.970856;-0.489914
540;-0.060043;1.113144;-0.445984
541;0.039429;1.157669;-0.477142
542;0.029343;1.083649;-0.633591
543;-0.017029;1.046829;-0.758301
544;-0.068344;1.121964;-0.821213
545;-0.107224;1.119858;-0.734329
546;-0.100906;0.943649;-0.678299
547;-0.043060;0.808411;-0.679764
548;0.005402;0.772842;-0.703888
549;-0.020142;0.766983;-0.659515
550;-0.062378;0.676117;-0.564102
551;-0.051208;0.670334;-0.530289
552;0.004807;0.614426;-0.475861
553;0.004089;0.556366;-0.453552
554;-0.015320;0.493546;-0.436371
555;-0.000519;0.450348;-0.417099
556;-0.020142;0.398560;-0.434982
557;-0.055527;0.410355;-0.487823
558;-0.075912;0.410751;-0.507568
559;-0.100616;0.439880;-0.567062
560;-0.093658;0.502838;-0.564880
561;-0.128693;0.420868;-0.557632
562;-0.135742;0.338974;-0.515427
563;-0.153015;0.303589;-0.449203
564;-0.153900;0.281143;-0.377686
565;-0.140747;0.341049;-0.354767
566;-0.113678;0.376083;-0.381866
567;-0.060242;0.419128;-0.396240
568;-0.023209;0.459503;-0.408722
569;-0.014603;0.502090;-0.439224
570;-0.039490;0.582474;-0.477997
571;-0.047150;0.657928;-0.512054
572;-0.072327;0.700806;-0.493515
573;-0.067581;0.752243;-0.498199
574;-0.073975;0.870499;-0.576416
575;-0.069122;0.946381;-0.582047
576;-0.113129;0.991486;-0.544586
577;-0.114212;1.014206;-0.574905
578;-0.134384;1.056946;-0.626358
579;-0.207275;1.075226;-0.677811
580;-0.219666;1.060150;-0.662247
581;-0.248779;1.050095;-0.642151
582;-0.171677;1.066086;-0.621765
583;-0.184570;1.079468;-0.593842
584;-0.161331;1.050873;-0.567795
